date,symbol,direction,entry_price,exit_price,shares,max_loss,type
2026-07-07,HK.03690,long,77.70,78.00,3300,990,stock
2026-07-07,HK.03690,long,78.30,78.25,2500,1000,stock
2026-07-15,HK.07709,long,77.90,79.48,200,880,etf
2026-07-15,HK.07709,long,78.90,77.30,200,680,etf
2026-07-17,HK.02513,short,1328.5,1215,400,9400,stock
2026-07-17,HK.02513,short,1269,1195,300,9300,stock
2026-07-17,HK.02513,short,1160,1147,400,10000,stock
2026-07-17,HK.02513,short,1136,1145,400,3600,stock
2026-07-20,HK.07709,long,51.42,53.52,3000,5760,etf
2026-07-20,HK.07709,long,52.36,52.64,3000,8580,etf
2026-07-21,HK.07709,long,57.10,59.62,7500,4500,etf
2026-07-21,HK.00981,long,73.85,75.30,12500,4375,stock
2026-07-23,HK.09988,short,114.2,113.3,7500,8250,stock
2026-07-23,HK.00981,short,70.75,70.15,7500,9375,stock
2026-07-27,HK.00981,short,69.1,70.2,1000,1100,stock
2026-07-27,HK.01810,long,28.08,28.325,2400,1392.0,stock
2026-07-27,HK.03690,long,90.75,91.2,800,1800,stock
2026-07-29,HK.07709,long,35.42,33.80,1500,2430,etf
2026-07-29,HK.00981,short,65.60,65.00,1500,2100,stock
2026-07-29,HK.01810,long,31.60,31.74,1800,1980,stock
2026-07-29,HK.00981,short,65.70,65.75,1500,1200,stock
2026-07-30,HK.00981,short,62.55,62.3,2000,1900,stock
2026-08-03,HK.09988,long,125.30,125.20,1300,1820,stock
2026-08-03,HK.07709,short,35.52,35.54,87000,20010,etf
2026-08-04,HK.02359,short,181.5,181.2,300,1650,stock
2026-08-04,HK.09988,short,126.5,126.5,16600,24900,stock
2026-08-04,HK.06869,long,105.6,104.5,500,1800,stock
2026-08-05,HK.00981,long,68.15,67.50,36500,23725,stock
2026-08-05,HK.00981,short,67.25,67.80,1500,2475,stock
2026-08-05,HK.01888,long,35.86,36.70,15500,7130,stock
2026-08-05,HK.01888,long,35.36,36.62,3500,1610,stock
2026-08-05,HK.06869,long,124.0,122.9,2000,2200,stock
2026-08-06,HK.01888,long,35.56,36.80,312500,112500,stock
2026-08-06,HK.00100,long,293.6,297.2,10000,56000,stock
2026-08-06,HK.00100,long,294.4,299.4,320,2048,stock
2026-08-07,HK.00100,long,321.0,330.0,360,1440,stock
2026-08-07,HK.02476,long,245.4,255.2,1600,4160,stock
